Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
30/10/2020,5.2596,8.1543,3.1878,5.8833,3.5696,4.7202,2.785,7.6525,5.2851,2.7963,0.5332,0.9815,2.239,#N/A N/A,#N/A N/A,#N/A N/A,4.0188
06/11/2020,5.0373,8.0213,3.1878,5.8833,3.3527,4.4536,2.5526,7.0661,5.1947,2.645,0.5332,0.9843,2.2221,#N/A N/A,#N/A N/A,#N/A N/A,3.7966
13/11/2020,4.3555,6.7672,3.1878,5.8833,3.3103,4.3169,2.5053,6.8792,5.1384,2.4063,0.5335,0.9938,2.2257,#N/A N/A,#N/A N/A,#N/A N/A,3.5468
20/11/2020,4.079,6.5595,3.1878,5.8833,3.528,4.1685,2.6005,7.0935,5.2688,2.3672,0.5334,0.9897,2.2029,#N/A N/A,#N/A N/A,#N/A N/A,3.5266
27/11/2020,3.7909,6.0979,3.1878,5.8833,3.428,4.2581,2.7836,7.1447,5.6077,2.3825,0.5335,0.9839,2.1893,#N/A N/A,#N/A N/A,#N/A N/A,3.5073
04/12/2020,3.6206,5.7886,3.1878,5.8833,3.634,4.2826,2.7178,7.1324,5.7444,2.3829,0.5337,0.9944,2.1535,#N/A N/A,#N/A N/A,#N/A N/A,3.4151
11/12/2020,3.6404,5.8243,3.1878,5.8833,3.5567,4.3342,2.6505,6.9951,5.6013,2.3228,0.5323,0.9654,2.1296,#N/A N/A,#N/A N/A,#N/A N/A,1.8789
18/12/2020,3.6762,5.908,3.1878,5.8833,3.6156,4.2807,2.8807,7.288,5.6478,2.3696,0.533,0.9779,2.1329,#N/A N/A,#N/A N/A,#N/A N/A,1.8911
25/12/2020,3.8246,6.0956,3.1878,5.8833,3.6475,4.1649,2.9944,7.4182,5.7163,2.3981,0.5329,0.9804,2.1347,#N/A N/A,#N/A N/A,#N/A N/A,1.8939
01/01/2021,3.9125,6.2918,3.1878,5.8833,3.5794,4.1919,2.9531,7.3662,5.6647,2.4281,0.5323,0.9712,2.1234,#N/A N/A,#N/A N/A,#N/A N/A,1.9075
08/01/2021,3.4584,5.3671,3.1878,5.8833,3.5327,3.9479,2.895,7.0189,5.5682,2.3002,0.3955,0.9862,2.1441,#N/A N/A,#N/A N/A,#N/A N/A,1.796
15/01/2021,3.4239,5.3005,3.1878,5.8833,3.5778,4.0149,2.8488,6.9931,5.5974,2.4072,0.3963,1.2059,2.1409,#N/A N/A,#N/A N/A,#N/A N/A,1.8329
22/01/2021,3.5758,5.5281,3.1878,5.8833,3.5908,4.0099,2.7811,7.1623,5.5949,2.4026,0.3964,1.2113,2.1475,#N/A N/A,#N/A N/A,#N/A N/A,1.8453
29/01/2021,3.7949,5.9048,3.1878,5.8833,3.7077,4.0518,2.8872,7.2848,5.7647,2.3883,0.3965,1.2113,2.1586,#N/A N/A,#N/A N/A,#N/A N/A,1.9257
05/02/2021,3.5438,5.9663,3.1878,5.8833,3.9647,3.9367,2.973,7.8096,5.7552,2.3457,0.3977,1.2409,2.1811,#N/A N/A,#N/A N/A,#N/A N/A,1.8992
12/02/2021,3.5114,5.7441,3.1878,5.8833,3.9837,4.0316,2.7292,7.7351,5.7216,2.3406,0.3975,1.0135,2.1696,#N/A N/A,#N/A N/A,#N/A N/A,1.8718
19/02/2021,3.4134,5.5216,0.6509,5.8833,4.0408,5.3984,2.8217,8.1348,5.8016,2.3504,0.3984,1.0353,2.1999,#N/A N/A,#N/A N/A,#N/A N/A,1.8571
26/02/2021,3.301,5.1544,0.6266,2.5192,4.227,5.4656,2.9359,8.3015,6.0764,2.5042,0.3994,1.0538,2.2346,#N/A N/A,#N/A N/A,#N/A N/A,1.8982
05/03/2021,3.0801,4.7171,0.5828,2.4536,4.0554,5.4851,2.9731,7.9529,5.9179,2.3944,0.399,1.0396,2.1673,#N/A N/A,#N/A N/A,#N/A N/A,1.8519
12/03/2021,3.0116,4.6493,0.5537,2.5063,3.9948,5.49,2.9333,7.8468,5.8445,2.3496,0.3991,1.0397,2.1941,#N/A N/A,#N/A N/A,#N/A N/A,4.391
19/03/2021,3.1871,4.9032,0.5476,2.4921,3.9928,5.3724,2.8677,7.6265,5.8195,2.3508,0.399,1.0411,2.2081,#N/A N/A,#N/A N/A,#N/A N/A,4.4714
26/03/2021,3.2878,4.9688,0.5466,2.5401,3.9019,5.3747,2.8042,7.6206,5.6977,2.361,0.3986,1.03,2.1878,#N/A N/A,#N/A N/A,#N/A N/A,4.4375
02/04/2021,3.3772,5.1891,0.5435,2.5371,3.9233,5.3901,2.8429,7.7375,5.6746,2.3422,0.3989,1.0377,2.1897,#N/A N/A,#N/A N/A,#N/A N/A,4.4375
09/04/2021,3.4168,5.0977,0.5385,2.4547,3.8198,5.2418,2.7981,7.4912,5.4414,2.2127,0.3988,1.0074,2.1782,#N/A N/A,#N/A N/A,#N/A N/A,4.3205
16/04/2021,3.3757,4.9639,0.5286,2.5119,3.7895,4.3146,2.7628,7.3421,5.4306,2.1805,0.3987,1.0067,2.1668,#N/A N/A,#N/A N/A,#N/A N/A,4.2563
23/04/2021,3.5166,5.1483,0.5495,2.5625,3.836,4.4949,2.6956,7.3629,5.4234,2.1368,0.3985,1.0032,2.1717,#N/A N/A,#N/A N/A,#N/A N/A,4.3015
30/04/2021,3.622,4.9908,0.5698,2.5398,3.6794,4.5264,2.6428,7.3794,5.3811,2.1664,0.3991,1.0118,2.1836,#N/A N/A,#N/A N/A,#N/A N/A,4.2805
07/05/2021,3.4569,4.8229,0.5508,2.5398,3.6437,4.3971,2.636,7.2923,5.2592,2.1446,0.3984,1.0068,2.1713,#N/A N/A,#N/A N/A,#N/A N/A,4.1821
14/05/2021,3.4842,4.8213,0.5534,2.5398,3.6259,4.3314,2.5928,7.2135,5.2345,2.1002,0.399,1.2781,2.1875,#N/A N/A,#N/A N/A,#N/A N/A,4.2263
21/05/2021,3.5345,4.8437,0.5586,2.5398,3.6399,4.4321,2.5064,7.2955,5.1999,2.0853,0.3988,1.2762,2.1856,#N/A N/A,#N/A N/A,#N/A N/A,4.2386
28/05/2021,3.6742,4.9394,0.5461,2.5398,3.6838,4.4808,2.5341,7.3541,5.2342,2.069,0.3987,1.264,2.1764,#N/A N/A,#N/A N/A,#N/A N/A,4.2297
04/06/2021,3.5477,4.7338,0.5436,2.5398,3.6437,4.4459,2.5313,7.2998,5.3768,2.0739,0.3987,1.2679,2.1806,#N/A N/A,#N/A N/A,#N/A N/A,4.2028
11/06/2021,3.4807,4.663,0.5543,2.5398,3.6433,4.3192,2.4448,7.0439,5.3516,2.051,0.3985,1.0235,2.1231,#N/A N/A,#N/A N/A,#N/A N/A,3.8566
18/06/2021,3.4861,4.7946,0.5819,2.5398,3.6149,4.5111,2.432,6.9449,5.3152,2.0358,0.3993,1.0203,2.1365,#N/A N/A,#N/A N/A,#N/A N/A,3.9588
25/06/2021,3.3084,4.6458,0.572,2.5398,3.6557,4.4558,2.399,6.9951,5.325,2.0215,0.3991,1.0291,2.1364,#N/A N/A,#N/A N/A,#N/A N/A,3.8924
02/07/2021,3.3483,4.7051,0.5802,2.5398,3.6463,4.4538,2.3225,6.8754,5.3209,2.0239,0.3987,1.0215,2.122,#N/A N/A,#N/A N/A,#N/A N/A,3.8967
09/07/2021,3.367,4.864,0.5768,2.5398,3.625,4.2084,2.3577,6.8878,5.232,2.051,0.2518,1.001,2.1206,#N/A N/A,#N/A N/A,#N/A N/A,3.893
16/07/2021,3.533,5.1744,0.6045,2.5398,3.5726,4.2585,2.4448,6.9391,5.2131,2.012,0.2523,0.9956,2.1116,#N/A N/A,#N/A N/A,#N/A N/A,3.9523
23/07/2021,3.6215,5.3228,0.5984,2.5398,3.7399,4.2695,2.4044,6.9812,5.2889,2.0091,0.2521,0.9824,2.0995,#N/A N/A,#N/A N/A,#N/A N/A,3.9434
30/07/2021,4.814,5.2289,1.7192,2.5398,3.7336,4.2933,2.4217,6.9724,5.3198,2.0319,0.2519,0.9802,2.0952,#N/A N/A,#N/A N/A,#N/A N/A,3.9364
06/08/2021,4.6848,5.1409,1.6424,5.0036,3.7874,4.2905,2.4546,6.8821,5.222,2.022,0.2522,0.9831,2.0973,#N/A N/A,#N/A N/A,#N/A N/A,3.8849
13/08/2021,4.7599,5.1762,1.6207,4.9835,3.7264,4.1174,2.3763,6.6265,5.145,1.9956,0.2522,1.1996,2.0899,#N/A N/A,#N/A N/A,#N/A N/A,3.8222
20/08/2021,4.9896,5.4909,1.673,5.1766,3.7476,4.0581,2.2932,6.5233,5.0215,2.0593,0.2519,1.1962,2.0847,#N/A N/A,#N/A N/A,#N/A N/A,3.8769
27/08/2021,4.7789,5.225,1.6146,5.1924,3.8315,3.9252,2.3377,6.6993,5.2415,2.0803,0.2521,1.2062,2.0983,#N/A N/A,#N/A N/A,#N/A N/A,3.8451
03/09/2021,4.8462,5.3289,1.6243,5.3342,3.896,3.9121,2.3531,6.6848,5.2215,2.0549,0.2521,1.2157,2.1032,#N/A N/A,#N/A N/A,#N/A N/A,3.8439
10/09/2021,4.8968,5.3461,1.6643,5.4628,3.9147,3.9321,2.4498,6.9635,5.2527,2.0661,0.2524,0.9716,2.0552,#N/A N/A,#N/A N/A,#N/A N/A,5.9353
17/09/2021,4.7716,5.1881,1.6419,5.4533,3.9556,3.9083,2.4832,7.121,5.0932,2.098,0.2528,0.9837,2.0826,#N/A N/A,#N/A N/A,#N/A N/A,6.0893
24/09/2021,4.5432,4.9362,1.6327,5.462,3.8843,3.8848,2.2637,7.1221,5.347,2.0824,0.2534,0.9948,2.0973,#N/A N/A,#N/A N/A,#N/A N/A,6.0123
01/10/2021,4.2162,4.6769,1.5968,5.2765,3.9009,4.0344,2.2823,7.1344,5.4915,2.0547,0.2535,1.0104,2.1207,#N/A N/A,#N/A N/A,#N/A N/A,6.0318
08/10/2021,4.0662,4.4705,1.5372,4.8879,4.0083,3.32,2.2525,7.0661,5.5236,2.0474,0.2545,1.0151,2.1503,#N/A N/A,#N/A N/A,#N/A N/A,5.9716
15/10/2021,3.9207,4.347,1.5165,4.723,4.0219,3.4155,2.2766,7.063,5.4793,2.0066,0.2545,0.9989,2.126,#N/A N/A,#N/A N/A,#N/A N/A,5.8538
22/10/2021,3.9718,4.4523,1.5086,4.7165,3.8786,3.3795,2.2257,6.9577,5.3892,1.9934,0.2552,1.0032,2.133,#N/A N/A,#N/A N/A,#N/A N/A,5.8798
29/10/2021,4.2712,4.5133,1.4833,2.3224,3.8598,3.3901,2.2017,6.5527,5.2555,1.9975,0.2551,0.9735,2.1044,#N/A N/A,#N/A N/A,#N/A N/A,5.8464
05/11/2021,4.2651,4.729,1.5594,2.345,3.8717,3.323,2.1509,6.2725,5.1747,1.9201,0.2532,0.9566,2.0722,#N/A N/A,#N/A N/A,#N/A N/A,5.7916
12/11/2021,4.3748,4.7915,1.5361,2.3615,3.8564,3.2105,2.275,6.204,5.0276,1.8962,0.2539,1.2282,2.0936,#N/A N/A,#N/A N/A,#N/A N/A,5.7485
19/11/2021,4.4612,5.002,1.571,2.3752,3.923,3.2813,2.3614,6.4967,5.0198,1.8708,0.2536,1.2219,2.0852,#N/A N/A,#N/A N/A,#N/A N/A,5.839
26/11/2021,4.6137,5.1422,1.6514,2.4764,3.8212,3.2778,2.3805,6.5432,4.9262,1.9298,0.2534,1.2063,2.0919,#N/A N/A,#N/A N/A,#N/A N/A,5.9793
03/12/2021,4.3477,4.7922,1.6072,2.3862,3.8926,3.2667,2.4444,6.4417,4.9252,1.8861,0.2534,1.1956,2.0765,#N/A N/A,#N/A N/A,#N/A N/A,5.9079
10/12/2021,4.3257,4.7677,1.6438,2.3375,3.7603,3.2173,2.4438,6.1324,4.6983,1.8376,0.253,0.9609,2.0088,#N/A N/A,#N/A N/A,#N/A N/A,1.9891
17/12/2021,4.5071,4.8941,1.6589,2.3019,3.792,3.2173,2.352,6.1271,4.5977,1.8242,0.2536,0.9741,2.0301,#N/A N/A,#N/A N/A,#N/A N/A,2.0091
24/12/2021,4.3673,4.8347,1.6005,2.2903,3.8203,3.1782,2.3252,6.1248,4.5628,1.807,0.2544,0.9935,2.0517,#N/A N/A,#N/A N/A,#N/A N/A,1.9823
31/12/2021,4.4271,4.9422,1.6043,2.2854,3.827,3.1563,2.3072,6.153,4.6584,1.7976,0.2546,0.9978,2.0564,#N/A N/A,#N/A N/A,#N/A N/A,1.9799
07/01/2022,4.1344,4.5053,1.4616,2.126,3.8377,3.1655,2.3839,6.1846,4.6849,1.8725,0.1981,1.0226,2.0848,#N/A N/A,#N/A N/A,#N/A N/A,1.9532
14/01/2022,3.9437,4.2022,1.3921,1.9848,3.8358,3.2105,2.3434,6.024,4.5671,1.9516,0.1981,1.298,2.08,#N/A N/A,#N/A N/A,#N/A N/A,1.9378
21/01/2022,3.9725,4.2732,1.5057,2.0288,4.1087,3.1688,2.2877,6.0014,4.5553,1.9308,0.1984,1.3071,2.097,#N/A N/A,#N/A N/A,#N/A N/A,1.9502
28/01/2022,3.7884,4.2377,1.5238,1.9409,3.9877,3.0158,2.2838,5.9515,4.5211,2,0.1987,1.3177,2.1272,#N/A N/A,#N/A N/A,#N/A N/A,1.9568
04/02/2022,3.4592,4.0242,1.4955,1.8814,3.9579,3.0959,2.4176,6.0461,4.5951,1.9723,0.1998,1.3408,2.1915,#N/A N/A,#N/A N/A,#N/A N/A,1.9413
11/02/2022,3.4558,3.8424,1.4556,1.8078,3.8616,3.0689,2.4972,6.1044,4.5054,1.9892,0.2005,1.1248,2.1883,#N/A N/A,#N/A N/A,#N/A N/A,1.9057
18/02/2022,3.6006,4.0957,1.5694,1.8835,3.9187,3.1101,2.4146,6.3085,4.531,2.0213,0.1998,1.1036,2.1803,#N/A N/A,#N/A N/A,#N/A N/A,1.9387
25/02/2022,3.5223,4.2353,3.1763,4.6765,4.0429,3.1932,2.3625,6.3206,4.4857,1.9874,0.1998,1.1224,2.1988,#N/A N/A,#N/A N/A,#N/A N/A,1.9372
04/03/2022,3.8434,4.6045,3.8265,5.38,4.4323,3.323,2.4485,6.6408,4.4566,2.1074,0.1989,1.0893,2.1682,#N/A N/A,#N/A N/A,#N/A N/A,2.0754
11/03/2022,3.5885,4.448,3.7244,5.2454,4.4571,3.3547,2.2912,6.3917,4.4342,2.1927,0.2001,1.1984,2.1777,#N/A N/A,#N/A N/A,#N/A N/A,2.4924
18/03/2022,3.6288,4.448,3.5174,5.0219,4.4193,3.2825,2.2285,6.14,4.3605,1.9773,0.1996,1.2023,2.1824,#N/A N/A,#N/A N/A,#N/A N/A,2.4171
25/03/2022,3.3387,4.0926,3.5864,4.8684,4.4637,3.3182,2.159,6.0886,4.3822,1.9374,0.2005,1.2246,2.1992,#N/A N/A,#N/A N/A,#N/A N/A,2.3915
01/04/2022,3.3246,4.2303,4.0805,4.757,4.3091,3.2796,2.1091,5.9673,4.2451,1.9109,0.2004,1.2091,2.1799,#N/A N/A,#N/A N/A,#N/A N/A,2.3753
08/04/2022,3.2502,4.0947,4.1494,4.7471,4.2732,3.3727,1.9443,5.558,4.0269,1.8393,0.2008,1.2399,2.2045,#N/A N/A,#N/A N/A,#N/A N/A,2.3324
15/04/2022,3.2146,4.0132,4.1135,4.8162,4.4084,4.0931,2.017,5.5755,4.1715,1.8658,0.2011,1.2623,2.2188,#N/A N/A,#N/A N/A,#N/A N/A,2.347
22/04/2022,3.2205,4.0775,4.09,4.8079,4.2689,4.1039,2.0672,5.6748,4.2107,1.8976,0.2017,1.2634,2.2508,#N/A N/A,#N/A N/A,#N/A N/A,2.3739
29/04/2022,3.2427,4.0941,4.0486,5.0189,4.0511,4.0074,1.9883,5.1573,4.1348,1.8402,0.2012,1.2602,2.2615,#N/A N/A,#N/A N/A,#N/A N/A,2.3625
06/05/2022,3.4795,4.1986,4.0366,5.0119,4.1885,4.0162,2.0588,5.2389,4.1857,1.9545,0.2009,1.281,2.2838,#N/A N/A,#N/A N/A,#N/A N/A,2.4142
13/05/2022,3.4734,4.3195,3.9904,5.0179,4.0208,3.8762,2.066,5.2795,4.0467,1.9341,0.1996,1.5706,2.2438,#N/A N/A,#N/A N/A,#N/A N/A,2.4028
20/05/2022,3.4244,4.2937,3.9288,5.1268,4.2844,4.1875,2.025,5.2537,4.2107,2.0553,0.2006,1.5996,2.2707,#N/A N/A,#N/A N/A,#N/A N/A,2.4083
27/05/2022,3.3618,4.1596,3.5215,4.7257,4.3349,4.2166,2.0086,5.3471,4.3789,2.0296,0.2003,1.6094,2.2627,#N/A N/A,#N/A N/A,#N/A N/A,2.3435
03/06/2022,3.3888,4.1533,3.5757,4.7507,4.0664,4.2101,2.0351,5.4266,4.5468,2.0417,0.2013,1.6533,2.2917,#N/A N/A,#N/A N/A,#N/A N/A,2.3582
10/06/2022,3.4222,4.0949,3.7547,5.041,4.1396,4.3583,2.1572,5.3366,4.7107,2.0916,0.2028,1.3922,2.3699,#N/A N/A,#N/A N/A,#N/A N/A,6.5281
17/06/2022,3.9144,4.7208,3.8481,4.9459,4.1931,4.3306,2.1414,5.5046,4.9318,2.1144,0.2034,1.4109,2.4247,#N/A N/A,#N/A N/A,#N/A N/A,6.9384
24/06/2022,3.8328,4.6347,3.775,4.6826,4.0316,4.2678,1.9721,5.2771,4.8497,2.0213,0.2022,1.3845,2.3883,#N/A N/A,#N/A N/A,#N/A N/A,6.742
01/07/2022,3.7723,4.6588,3.9164,3.531,3.9647,4.2779,1.9761,5.1902,4.7547,2.1083,0.2009,1.3634,2.3712,#N/A N/A,#N/A N/A,#N/A N/A,6.7765
08/07/2022,3.9153,4.6341,3.9484,3.5888,3.9275,4.1635,1.9242,5.2813,4.7702,2.0905,0.2946,1.4747,2.3943,#N/A N/A,#N/A N/A,#N/A N/A,6.7452
15/07/2022,4.0214,4.8012,3.992,3.6719,3.8552,4.2101,1.9128,5.3906,4.6106,2.018,0.2947,1.4671,2.3814,#N/A N/A,#N/A N/A,#N/A N/A,6.7722
22/07/2022,3.923,4.6734,3.8013,3.6626,3.8517,4.202,1.9739,5.378,4.6189,1.9879,0.2941,1.4395,2.334,#N/A N/A,#N/A N/A,#N/A N/A,6.6646
29/07/2022,3.7545,4.4783,3.9763,3.6733,3.8083,4.1508,2.0607,4.9925,4.5046,1.9624,0.293,1.4313,2.302,#N/A N/A,#N/A N/A,#N/A N/A,6.5251
05/08/2022,3.8051,4.7803,3.811,2.7825,3.8394,4.1603,2.0565,5.174,4.5428,1.9808,0.2949,1.4426,2.3309,#N/A N/A,#N/A N/A,#N/A N/A,6.5011
12/08/2022,3.6935,4.5649,3.6422,2.7391,3.9038,4.1382,2.0861,5.9483,4.473,1.9872,0.2951,1.8606,2.3339,#N/A N/A,#N/A N/A,#N/A N/A,6.4272
19/08/2022,3.6384,4.389,3.7815,2.809,3.8078,4.0236,1.9863,6.0518,4.362,1.9237,0.2976,1.9141,2.4007,#N/A N/A,#N/A N/A,#N/A N/A,6.3836
26/08/2022,3.5051,4.2931,3.8556,2.8831,3.8746,4.3134,1.9664,6.1837,4.4809,1.9914,0.2995,1.9535,2.4443,#N/A N/A,#N/A N/A,#N/A N/A,6.4654
02/09/2022,3.5202,4.3319,3.7061,2.819,3.9033,4.4005,2.1045,6.3794,4.7458,2.0153,0.3011,2.0355,2.5098,#N/A N/A,#N/A N/A,#N/A N/A,6.5952
09/09/2022,3.557,4.3598,3.7017,2.8721,3.8569,4.5436,2.1282,6.3955,4.7591,2.0063,0.3013,1.7556,2.543,#N/A N/A,#N/A N/A,#N/A N/A,4.7092
16/09/2022,3.5624,4.3478,3.652,2.8472,3.8657,4.7084,2.2077,6.5272,4.9199,2.0342,0.302,1.7544,2.5539,#N/A N/A,#N/A N/A,#N/A N/A,4.8373
23/09/2022,3.6943,4.538,3.8614,2.9566,3.7865,4.95,2.231,6.5679,5.0316,2.0202,0.3083,1.877,2.6954,#N/A N/A,#N/A N/A,#N/A N/A,4.9897
30/09/2022,3.6417,4.538,4.3313,3.2267,3.8414,5.2708,2.2472,6.6051,5.4748,2.0061,0.3105,1.8607,2.7593,#N/A N/A,#N/A N/A,#N/A N/A,5.0766
07/10/2022,3.488,4.1897,4.356,3.2288,3.882,5.7549,2.2279,6.4241,5.6134,2.0404,0.3099,2.0005,2.7871,#N/A N/A,#N/A N/A,#N/A N/A,5.0064
14/10/2022,3.604,4.3191,4.3761,3.2865,3.9275,5.715,2.276,6.3879,5.8506,2.0774,0.3082,2.0601,2.8454,#N/A N/A,#N/A N/A,#N/A N/A,5.1003
21/10/2022,3.4902,4.2317,4.3092,3.1555,3.8662,5.521,2.299,6.1943,5.6596,2.1279,0.3065,1.943,2.7313,#N/A N/A,#N/A N/A,#N/A N/A,5.0216
28/10/2022,3.551,4.1556,4.268,3.4099,3.9867,5.4302,2.2072,6.0885,5.3754,2.1435,0.3024,1.8319,2.6133,#N/A N/A,#N/A N/A,#N/A N/A,4.9654
04/11/2022,3.3992,4.1268,4.0711,3.0773,3.8534,5.1747,2.0802,5.2746,5.2688,2.0656,0.3011,1.8601,2.6186,#N/A N/A,#N/A N/A,#N/A N/A,4.7627
11/11/2022,3.639,4.3127,3.9502,3.2068,3.965,5.0613,2.1085,5.7608,5.1745,2.105,0.3013,2.5829,2.564,#N/A N/A,#N/A N/A,#N/A N/A,4.7746
18/11/2022,3.663,4.334,3.9502,3.1486,3.8658,4.9935,2.0463,5.5722,5.0713,2.0735,0.3009,2.5557,2.5367,#N/A N/A,#N/A N/A,#N/A N/A,4.7303
25/11/2022,3.6282,4.2248,3.9293,3.0651,3.7972,4.9149,2.04,5.4762,5.0613,2.0247,0.3008,2.5349,2.5113,#N/A N/A,#N/A N/A,#N/A N/A,4.6611
02/12/2022,3.6305,4.2902,3.9855,3.0248,3.7386,5.0547,1.9991,5.3546,5.0588,1.9802,0.301,2.5671,2.5158,#N/A N/A,#N/A N/A,#N/A N/A,4.6203
09/12/2022,3.7568,4.4662,3.919,3.0388,3.7862,5.068,1.9681,5.2305,5.0737,2.0353,0.3007,2.1193,2.6921,#N/A N/A,#N/A N/A,#N/A N/A,2.1671
16/12/2022,3.8288,4.5305,4.0474,3.0632,3.772,5.1957,2.003,5.3396,5.1818,2.1021,0.3012,2.1555,2.7286,#N/A N/A,#N/A N/A,#N/A N/A,2.2199
23/12/2022,3.629,4.3082,3.9622,2.9549,3.7067,5.0948,1.9884,5.2485,5.2142,2.0886,0.3026,2.2028,2.759,#N/A N/A,#N/A N/A,#N/A N/A,2.1789
30/12/2022,3.6922,4.3445,3.9427,2.9239,3.735,5.1517,1.992,5.304,5.1735,2.0871,0.3022,2.2108,2.7511,#N/A N/A,#N/A N/A,#N/A N/A,2.1769
06/01/2023,3.6545,4.3249,3.6316,2.6519,3.7177,4.7846,1.8966,5.324,4.9402,2.0891,0.7981,2.1853,2.7064,#N/A N/A,#N/A N/A,#N/A N/A,2.1138
13/01/2023,3.519,4.2597,3.458,2.5505,3.7054,4.7028,1.9171,5.3151,4.9952,2.0704,0.8011,2.7914,2.6631,#N/A N/A,#N/A N/A,#N/A N/A,2.0735
20/01/2023,3.6344,4.3358,3.503,2.5445,3.8195,4.6591,1.9952,5.4201,4.9855,2.0704,0.8003,2.7988,2.6745,#N/A N/A,#N/A N/A,#N/A N/A,2.0938
27/01/2023,3.6229,4.2166,3.3642,2.511,3.8846,4.678,2.1037,5.4078,5.0195,2.2691,0.7991,2.7945,2.6571,#N/A N/A,#N/A N/A,#N/A N/A,2.096
03/02/2023,3.9645,4.2448,3.3132,2.527,3.7449,4.6875,2.1125,4.2547,4.9903,2.1699,0.7927,2.749,2.6137,#N/A N/A,#N/A N/A,#N/A N/A,2.0586
10/02/2023,3.7693,3.9292,3.3653,2.4695,3.8712,4.7531,2.1094,4.1582,4.9879,2.2272,0.8,2.445,2.6666,#N/A N/A,#N/A N/A,#N/A N/A,2.0631
17/02/2023,3.7664,3.9299,4.1787,2.4277,3.777,4.6034,2.0918,4.1268,4.8224,2.1809,0.802,2.4815,2.6892,#N/A N/A,#N/A N/A,#N/A N/A,2.0315
24/02/2023,3.8297,3.9992,4.2502,12.1263,3.8167,4.678,2.1645,4.2388,4.8887,2.1537,0.8053,2.5105,2.7241,#N/A N/A,#N/A N/A,#N/A N/A,2.0574
03/03/2023,3.7094,3.9624,4.2279,12.4675,3.859,4.5064,2.228,4.247,5.0024,2.1711,0.8061,2.54,2.7456,#N/A N/A,#N/A N/A,#N/A N/A,2.0346
10/03/2023,3.7612,4.0064,4.6055,13.0082,3.9316,4.4492,2.2459,4.3794,4.9143,2.2183,0.8035,2.6424,3.0307,#N/A N/A,#N/A N/A,#N/A N/A,3.6091
17/03/2023,4.3226,4.5845,5.1949,14.22,3.9525,4.678,2.2218,4.3725,4.9663,2.2345,0.796,2.5714,3.0568,#N/A N/A,#N/A N/A,#N/A N/A,3.8406
24/03/2023,4.3491,4.5246,5.4145,14.4357,3.8117,4.6053,2.1684,4.3713,4.8748,2.1575,0.7951,2.5658,3.0353,#N/A N/A,#N/A N/A,#N/A N/A,3.7991
31/03/2023,4.1457,4.3076,4.9726,14.0234,3.8181,4.347,2.1391,4.2862,4.7059,2.1486,0.7995,2.6008,3.0461,#N/A N/A,#N/A N/A,#N/A N/A,3.6925
07/04/2023,3.9596,4.1367,4.7817,13.6946,3.7139,4.3733,2.0535,4.0217,4.5263,2.1075,0.7967,2.6391,3.026,#N/A N/A,#N/A N/A,#N/A N/A,3.6422
14/04/2023,3.8872,4.0672,4.5921,13.193,3.7117,4.0641,2.0204,4.0429,4.6133,2.1112,0.8006,2.7081,3.0535,#N/A N/A,#N/A N/A,#N/A N/A,3.5776
21/04/2023,3.9015,4.1516,4.7311,13.4368,3.6424,3.9082,1.9716,4.1633,4.5046,2.0649,0.8027,2.7341,3.054,#N/A N/A,#N/A N/A,#N/A N/A,3.5584
28/04/2023,3.9031,4.1174,4.5347,13.4344,3.5785,3.8776,2.0455,4.0076,4.5085,2.1438,0.8016,2.7116,3.0382,#N/A N/A,#N/A N/A,#N/A N/A,3.5724
05/05/2023,3.8808,4.2923,4.7311,9.0909,3.609,3.8516,1.9905,3.949,4.485,2.1155,0.8013,2.7466,3.0584,#N/A N/A,#N/A N/A,#N/A N/A,3.6117
