Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
08/03/2019,6.3103,5.9923,4.0937,6.2423,3.3898,1.4617,3.4009,6.5363,5.3263,2.1922,0.3912,1.8017,2.6151,#N/A N/A,#N/A N/A,#N/A N/A,3.2593
15/03/2019,6.1633,5.8801,3.9171,6.2664,3.3161,1.456,3.3993,6.5833,5.3087,2.1591,0.3914,1.8025,2.6228,#N/A N/A,#N/A N/A,#N/A N/A,3.2057
22/03/2019,6.1388,5.7991,4.1817,6.3543,3.2579,1.4322,3.358,6.3572,5.2488,2.1552,0.3899,1.7373,2.5886,#N/A N/A,#N/A N/A,#N/A N/A,5.5514
29/03/2019,6.0828,5.7327,4.2022,6.2493,3.2093,1.439,3.4763,6.1908,5.4678,2.1192,0.3898,1.7517,2.5888,#N/A N/A,#N/A N/A,#N/A N/A,5.5704
05/04/2019,5.9305,5.6308,3.9936,5.9642,3.2042,1.4099,3.4706,6.2017,5.5726,2.1314,0.3907,1.7732,2.6024,#N/A N/A,#N/A N/A,#N/A N/A,5.4251
12/04/2019,5.9221,5.6111,3.9166,5.9135,3.2321,2.3351,3.5616,6.3728,5.6919,2.1345,0.391,1.0672,2.604,#N/A N/A,#N/A N/A,#N/A N/A,5.4407
19/04/2019,5.9521,5.6398,3.8371,5.8443,3.3044,2.3071,3.6676,6.4848,5.6822,2.1273,0.3909,1.0668,2.5922,#N/A N/A,#N/A N/A,#N/A N/A,5.4177
26/04/2019,6.0192,5.7574,4.0363,5.8539,3.2442,2.308,3.6802,6.3311,5.5613,2.0633,0.3903,1.0592,2.5785,#N/A N/A,#N/A N/A,#N/A N/A,5.435
03/05/2019,5.9866,5.7449,3.9712,5.7845,3.233,2.3323,3.7148,6.3687,5.6109,2.0733,0.3913,1.0695,2.5901,#N/A N/A,#N/A N/A,#N/A N/A,5.4632
10/05/2019,6.0557,6.0069,4.1265,6.0382,3.2284,2.3833,3.7468,6.5815,5.5679,2.049,0.3904,1.0599,2.5941,#N/A N/A,#N/A N/A,#N/A N/A,5.594
