Start Date,07/01/2019,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
15/03/2019,11.2615,15.3908,17.843,13.4536,13.55,17.4824,49.0295,16.4885,8.0945,25.5318,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.4789,#N/A N/A
22/03/2019,11.2349,15.507,16.714,13.1835,13.7328,17.772,49.3174,17.0748,8.1868,25.4157,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.4629,#N/A N/A
29/03/2019,11.0418,14.7672,7.8918,12.019,13.8138,17.6881,41.9537,16.2956,19.2683,25.4408,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.7661,#N/A N/A
05/04/2019,11.3446,15.0597,8.3041,12.6149,13.8667,18.0539,42.0933,16.2671,18.9059,25.3377,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1004,#N/A N/A
12/04/2019,11.4243,15.1974,8.4673,12.7945,13.7213,18.8313,41.2479,15.8303,18.5096,25.4431,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.0754,#N/A N/A
19/04/2019,11.2738,14.9966,8.6429,12.8401,14.1305,19.0599,39.7287,15.5568,18.5413,25.3201,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1206,#N/A N/A
26/04/2019,11.1069,14.6358,8.2163,12.7715,14.4253,19.0523,39.4456,15.9344,18.9444,26.0093,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1152,#N/A N/A
03/05/2019,11.3624,14.664,8.351,13.2794,14.6718,18.8541,39.7247,15.8405,18.7768,26.3125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.028,#N/A N/A
10/05/2019,11.1303,13.8965,8.0367,12.6053,14.5053,18.4502,39.0261,15.3282,18.9218,26.3812,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.7124,#N/A N/A
17/05/2019,11.3682,14.4046,8.099,12.3699,14.8472,18.2444,39.3656,15.8691,18.5277,26.596,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.0414,#N/A N/A
