Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
08/03/2019,2326.5,534.3,158.78,624,4461.772,289.433,6271,1529.927,810.431,3033.5,132.67,22.9775,143.69,1954.25,7104.31,1.189,31.715
15/03/2019,2382,544.5,165.94,621.6,4560.958,290.573,6274,1519.002,813.122,3080,132.6,22.9675,143.265,1920.75,7228.28,1.211,32.245
22/03/2019,2391.5,552.1,155.44,613,4642.451,295.387,6351,1573.021,822.401,3085.5,133.1,23.655,145.16,1949.5,7207.59,1.014,32.2
29/03/2019,2413.5,558.5,154.68,623.3,4712.686,293.993,6135,1615.305,789.461,3138,133.16,23.46125,145.15,1950.25,7279.19,1,32.09
05/04/2019,2475.5,568.6,162.76,653.1,4720.192,300.073,6145,1612.472,774.614,3120,132.85,23.17625,144.39,1946.25,7446.87,1.116,32.95
12/04/2019,2479,570.6,165.96,658.7,4679.445,312.993,5988,1569.176,758.376,3115.5,132.74,22.97125,144.3,1933,7437.06,1.212,32.855
19/04/2019,2466.5,567.7,169.4,666.5,4829.029,316.793,5815,1542.066,759.675,3126,132.76,22.97875,144.96,1922,7459.88,1.197,32.995
26/04/2019,2439,556.1,161.04,665.4,4918.564,316.667,5795,1579.495,776.192,3223,132.96,23.145,145.73,1952.5,7428.19,1.142,32.89
03/05/2019,2454.5,548.1,163.68,680.6,4935.721,313.373,5741,1570.188,769.325,3207.5,132.65,22.92125,145.075,1910.25,7380.64,1.219,32.72
10/05/2019,2426.5,524.2,157.52,652,4942.691,306.66,5692,1519.406,775.264,3245.5,132.93,23.13,144.85,1936.5,7203.29,1.135,31.955
17/05/2019,2536,556,158.74,654.7,5143.208,303.24,5875,1573.021,759.118,3348,133.08,23.4,145.85,1963.5,7348.62,1.034,32.725
24/05/2019,2487,544.5,149.26,659.4,5236.496,293.867,6089,1600.333,757.726,3348.5,133.29,23.61,145.88,1984,7277.73,0.956,32.43
31/05/2019,2461,540.1,149.34,645.1,5186.635,286.773,5833,1544.696,735.642,3325.5,133.4,23.7025,145.81,2019.75,7161.71,0.886,31.91
07/06/2019,2523,551.8,151.06,650.9,5269.201,290.573,6028,1583.339,763.572,3407,133.66,24.03,148,2065.75,7331.94,0.813,32.725
14/06/2019,2515,538.9,149,645.6,5333.002,284.24,6215,1602.761,773.315,3418.5,133.5,23.84875,147.02,2098.25,7345.78,0.847,32.7925
21/06/2019,2584,556.2,148.7,649.6,5263.304,299.82,6378,1594.669,786.027,3380,133.495,23.805,147.91,2154.5,7407.5,0.845,33.085
28/06/2019,2572.5,548.6,149.8,656.9,5248.292,287.153,6438,1594.871,775.542,3384,133.5,23.71375,147.955,2175.25,7425.63,0.833,32.7725
